title,url,time,image_url,image_alt,summary
Daily Briefing: Hope in exile for Sheikh Hasina’s party,https://indianexpress.com/article/live-news/top-news-briefing-today-9796395/,"January 24, 2025 09:41 IST","https://images.indianexpress.com/2025/01/briefing-1600x900-17.jpg?resize=450,253","Top news on January 24, 2025","Also in today's edition: Setback to Trump's order on birthright citizenship; how Rohit Sharma, Ravindra Jadeja fared in Ranji Trophy; an interview with ISRO's new chairman; and more"
Vadodara’s Navrachna school receives bomb threat; police on the spot,https://indianexpress.com/article/cities/ahmedabad/vadodara-navrachna-school-bomb-threat-9796383/,"Updated: January 24, 2025  09:41 IST","https://images.indianexpress.com/2025/01/Navrachna-school.jpeg?resize=450,253","Navrachna school bomb threat, vadodara news, indian express","The Vadodara police said the email sent was ""similar"" to the threats received by schools in Tamil Nadu this week."
Manchester United deems its financial losses ‘not sustainable’ and defends midseason ticket price hikes,https://indianexpress.com/article/sports/football/manchester-united-deems-its-financial-losses-not-sustainable-and-defends-midseason-ticket-price-hikes-9796376/,"January 24, 2025 09:40 IST","https://images.indianexpress.com/2025/01/ratcliffe.jpg?resize=450,253",Manchester,"The record 20-time English champion, which is co-owned by the American Glazer family and British billionaire Jim Ratcliffe, said it had lost more than 300 million pounds ($371 million) over the past three years"
"Donald Trump fulfills promise to crypto community, bans CBDC: What it means",https://indianexpress.com/article/technology/donald-trump-cbdc-ban-cryptocurrencies-stablecoins-9796358/,"Updated: January 24, 2025  09:39 IST","https://images.indianexpress.com/2025/01/Donald-Trump-Cryptocurrency.jpg?resize=450,253","US President Donald Trump sits in the Oval Office of the White House, as he signs executive orders, in Washington, US, January 23, 2025. (REUTERS/Kevin Lamarque)",The latest executive order bans CBDC in favour of a private-sector-driven digital ecosystem.
"Sky Force movie review: Veer Pahariya should have been the lead of this film, not Akshay Kumar",https://indianexpress.com/article/entertainment/movie-review/sky-force-movie-review-veer-pahariya-should-have-been-the-lead-of-this-film-not-akshay-kumar-9796386/,"January 24, 2025 09:38 IST","https://images.indianexpress.com/2025/01/sky-force.jpg?resize=450,253","Sky Force Movie Review: Veer Pahariya is efficient, Akshay Kumar appears distinctly older in the parts where everyone is young.","Sky Force Movie Review and Rating: Sky Force, coasting on the same elements as Fighter, except this one is a thinly-disguised account of a real life incident during the 1965 Indo-Pak conflict."
"‘Amitabh Bachchan put his reputation at stake and RGV Ki Aag became a laughing stock,’ says Ram Gopal Varma",https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-put-his-reputation-at-stake-rgv-ki-aag-laughing-stock-ram-gopal-varma-9796319/,"January 24, 2025 09:34 IST","https://images.indianexpress.com/2025/01/amitabh.jpg?resize=450,253",Amitabh Bachchan in RGV Ki Aag,Ram Gopal Varma said that Amitabh Bachchan put his reputation at stake for RGV Ki Aag but he failed the actor.
2020 Delhi riots: HC orders release of compensation recommended by Claims Commission to victims,https://indianexpress.com/article/cities/delhi/delhi-riots-2020-hc-orders-compensation-victims-claims-commission-9796387/,"January 24, 2025 09:30 IST","https://images.indianexpress.com/2024/09/delhiriots-4col.jpg?resize=450,253","Delhi riots, Delhi riots 2020, Northeast Delhi riots, 2020 Northeast Delhi riots, delhi news, India news, Indian express, Indian express India news, current affairs","Last year, the petitioners said the Commission recommended the disbursal of only about Rs 21 crore against the claimed amount for 1,731 claimants in the 2020 Delhi riots."
"Saini govt paves way for Rs 2,100 per month grant to women; fund allocation in Budget",https://indianexpress.com/article/cities/chandigarh/lado-lakshmi-yojana-cm-saini-govt-financial-grant-women-9796352/,"Updated: January 24, 2025  09:26 IST","https://images.indianexpress.com/2025/01/Indian-Express-2025-01-24T091039.663.jpg?resize=450,253",Saini,"In another Cabinet decision, the government has introduced the Haryana One-Time Settlement Scheme for recovery of outstanding tax dues with an aim to move ahead in the GST regime"
Changing City: Cable-stayed Bellasis Bridge to become operational in South Mumbai in October,https://indianexpress.com/article/cities/mumbai/bellasis-bridge-operational-cable-9796368/,"Updated: January 24, 2025  09:20 IST","https://images.indianexpress.com/2025/01/Bellasis-Bridge.jpg?resize=450,253","Bellasis Bridge operational, south mumbai, indian express",Bellaris Bridge is a railway overbridge in South Mumbai that connects traffic between Nagpada and Tardeo.
"In Delhi, how AAP sops have echoed as BJP, Cong’s poll theme song after 2013",https://indianexpress.com/article/political-pulse/delhi-aap-sops-bjp-congress-poll-theme-song-2013-9796353/,"January 24, 2025 09:16 IST","https://images.indianexpress.com/2025/01/delhi-song.jpg?resize=450,253",aap manifesto 2025,The 2013 manifestos of both Congress and BJP made an aspirational pitch; they started following AAP's playbook as it rode welfare plank to sweep 2015 and 2020 polls
