title,url,time,image_url,image_alt,summary
"Akshay Kumar says he goes to sleep at 9 pm, but dismisses Vivek Oberoi’s claim he went to bed when guests were having dinner",https://indianexpress.com/article/entertainment/bollywood/akshay-kumar-sleeps-at-9-pm-dismisses-vivek-oberoi-claims-that-he-went-to-bed-while-dinner-9794466/,"Updated: January 23, 2025  15:58 IST","https://images.indianexpress.com/2025/01/akshay-vivek.jpg?resize=450,253",Akshay Kumar dismissed Vivek Oberoi's claims,Akshay Kumar said that he is a very good host and makes sure that sees off every guest when they leave his home.
"‘I don’t want to stop – and I’m not just talking about engineers, I’m talking about people at all levels’: Trump reiterates backing for H-1B visa programme",https://indianexpress.com/article/india/donald-trump-h-1b-visa-programme-united-states-9794799/,"Updated: January 24, 2025  01:34 IST","https://images.indianexpress.com/2025/01/2025-01-22T150630Z_667126474_RC20ECA64TTW_RTRMADP_5_USA-TRUMP-MIGRATION.jpg?resize=450,253",trump on H-1B visa programme,"US President was speaking at the White House during a joint news conference with Oracle CTO Larry Ellison, Softbank CEO Masayoshi Son, and Open AI CEO Sam Altman"
"‘Today it was us, tomorrow it can be any other innocent person’: Delhi couple whose accounts were frozen by ED in ‘mistaken identity’ case",https://indianexpress.com/article/cities/delhi/delhi-in-high-court-ed-admits-freezing-shopowners-bank-account-over-mistaken-identity-9792204/,"Updated: January 22, 2025  10:12 IST","https://images.indianexpress.com/2024/08/delhi-high-court-1.png?resize=450,253",enforcement directorate,Singhs say they are yet to receive the re-transferred money.
Neena Gupta says family wasn’t allowed to carry 2.5-month-old granddaughter on flight as ticket mentioned ‘child’: ‘Who the hell knows ‘infant’ in India?’,https://indianexpress.com/article/lifestyle/life-style/neena-gupta-granddaughter-matara-not-allowed-flight-ticket-mentioned-child-infant-aviation-policy-expert-9794917/,"Updated: January 23, 2025  18:01 IST","https://images.indianexpress.com/2025/01/neena-gupta_600-new.jpg?resize=450,253",Neena Gupta,"""This video is to just warn young mothers to be careful when travelling with a small kid which could be a problem,"" Neena Gupta said."
"Mika Singh offers Rs 1 lakh to auto driver who rushed Saif Ali Khan to hospital, urges actor to increase reward money: ‘Saif bhai, isko Rs 11 lakh do’",https://indianexpress.com/article/entertainment/bollywood/mika-singh-offers-rs-1-lakh-to-auto-driver-who-rushed-saif-ali-khan-to-hospital-urges-actor-to-increase-reward-money-saif-bhai-isko-rs-11-lakh-do-9794717/,"Updated: January 23, 2025  13:37 IST","https://images.indianexpress.com/2025/01/Mika.jpg?resize=450,253",Mika Singh Saif Ali Khan,"Mika Singh urged Saif Ali Khan to increase the reward amount to Rs 11 lakh for the autorickshaw driver, Bhajan Singh, who took him to hospital after he suffered the knife attack at his home."
"In first bilateral talks with Trump admin, US brings up irregular immigration, India says always open to return",https://indianexpress.com/article/india/trump-administration-keen-india-present-inaugural-eam-jaishankar-in-washington-9793921/,"Updated: January 23, 2025  15:15 IST","https://images.indianexpress.com/2025/01/jaishankar_c22615.jpg?resize=450,253","Union Minister Jaishankar with Japanese Foreign Minister Takeshi Iwaya, US Secretary of State Marco Rubio, and Australia's Penny Wong during a Quad Foreign Ministers meeting, quad, trump, donald trump, immigration, us immigration, indian express","""We have very strong degree of trust today between India and the United States, a very high level of convergence of our interests,"" Jaishankar said."
Saagar: Dimple Kapadia’s comeback after failed marriage with Rajesh Khanna; Rishi Kapoor didn’t tell wife Neetu about on-screen kiss,https://indianexpress.com/article/entertainment/bollywood/saagar-dimple-kapadia-comeback-failed-marriage-rajesh-khanna-rishi-kapoor-on-screen-kiss-didnt-tell-wife-neetu-9793022/,"January 23, 2025 08:00 IST","https://images.indianexpress.com/2025/01/saagar-4.jpg?resize=450,253",Rishi Kapoor and Dimpel Kapadia in Ramesh Sippy's Saagar,"Ramesh Sippy's Saagar was Dimple Kapadia's big comeback. Made on a budget of Rs 3.2 crore in the 1980s, Sippys tried everything to make the film a stand-out success."
"California Los Angeles Wildfires LIVE Updates: Over 50,000 people asked to evacuate as new fire rips through north of LA; rain forecast for tomorrow",https://indianexpress.com/article/world/california-los-angeles-wildfires-live-updates-9794318/,"Updated: January 24, 2025  09:39 IST","https://images.indianexpress.com/2025/01/LA-wildfire-1.jpg?resize=450,253","LA wildfire, California","California Los Angeles Wildfires | Hughes Fire Today Live News Updates: The death toll from the Los Angeles fires climbed to 28 on Thursday, with nearly 22 individuals still missing and thousands of residents displaced, according to the AP."
"‘Shocked that Taimur took Saif Ali Khan to the hospital, that’s unimaginable,’ says former nanny Lalita D’Silva",https://indianexpress.com/article/entertainment/bollywood/shocked-that-taimur-took-saif-ali-khan-hospital-unimaginable-former-nanny-lalita-9794305/,"January 23, 2025 08:52 IST","https://images.indianexpress.com/2025/01/saif-taimur.jpg?resize=450,253",Taimur's former nanny Lalita said it was shocking that 8-year-old Taimur accompanied Saif Ali Khan to the hospital,"Lalita, who was previously working as Taimur's nanny, praised Saif Ali Khan's resilience and bravery displayed during the attack. She described him as a 'lion' and said Taimur is also strong 'like his abba'."
Forbes 2025 Billionaires list: See the top rankings and the world’s richest people,https://indianexpress.com/article/trending/top-10-listing/forbes-2025-billionaires-list-rankings-of-worlds-richest-people-9788354/,"Updated: January 24, 2025  07:59 IST","https://images.indianexpress.com/2025/01/Top-10-Forbes-Billionaires-as-of-January-2025-1.jpg?resize=450,253","richest people Top 10 Forbes Billionaires, as of January 2025 (1)","Forbes 2025 billionaires list Top 10: Elon Musk, Mark Zuckerberg, and Jensen Huang have contributed to a staggering combined net worth of $10 trillion."
